SchoolID,SchoolName,Address,Latitude,Longitude
1,Amidon-Bowen Elementary School,"401 I St SW, Washington, DC 20024",38.879583,-77.018132
2,Bancroft Elementary School,"1755 Newton St NW, Washington, DC 20010",38.934593,-77.040582
3,Beers Elementary School,"3600 Alabama Ave SE, Washington, DC 20020",38.864399,-76.955669
4,Brent Elementary School,"301 North Carolina Ave SE, Washington, DC 20003",38.884739,-77.001398
5,Bunker Hill Elementary School,"1401 Michigan Ave NE, Washington, DC 20017",38.941959,-76.985101
6,Burrville Elementary School,"801 Division Ave NE, Washington, DC 20019",38.900572,-76.92446
7,C.W. Harris Elementary School,"301 53rd St SE, Washington, DC 20019",38.883608,-76.926119
8,Cleveland Elementary School,"1825 8th St NW, Washington, DC 20001",38.915075,-77.022674
9,Eaton Elementary School,"3301 Lowell St NW, Washington, DC 20008",38.932733,-77.065821
10,Garrison Elementary School,"1200 S St NW, Washington, DC 20009",38.91384,-77.02846
11,H.D. Cooke Elementary School,"2525 17th St NW, Washington, DC 20009",38.92401,-77.03854
12,Hearst Elementary School,"3950 37th St NW, Washington, DC 20008",38.940863,-77.071606
13,Hendley Elementary School,"425 Chesapeake St SE, Washington, DC 20032",38.82899,-76.99919
14,Houston Elementary School,"1100 50th Pl NE, Washington, DC 20019",38.905474,-76.929937
15,Hyde-Addison Elementary School,"3219 O St NW, Washington, DC 20007",38.908112,-77.064531
16,Janney Elementary School,"4130 Albemarle St NW, Washington, DC 20016",38.947467,-77.080954
17,John Lewis Elementary School,"1335 Farragut St NW, Washington, DC 20011",38.951237,-77.032337
18,Ketcham Elementary School,"1919 15th St SE, Washington, DC 20020",38.866063,-76.983574
19,Kimball Elementary School,"3375 Minnesota Ave SE, Washington, DC 20019",38.883105,-76.957417
20,Langdon Elementary School,"1900 Evarts St NE, Washington, DC 20018",38.92489,-76.976968
21,Lafayette Elementary School,"5701 Broad Branch Rd NW, Washington, DC 20015",38.966633,-77.068039
22,Leckie Elementary School,"4201 Martin Luther King Jr Ave SW, Washington, DC 20032",38.82809,-77.01336
23,Maury Elementary School,"1250 Constitution Ave NE, Washington, DC 20002",38.892574,-76.988776
24,Miner Elementary School,"601 15th St NE, Washington, DC 20002",38.897586,-76.98283
25,Moten Elementary School,"1565 Morris Rd SE, Washington, DC 20020",38.856662,-76.982948
26,Nalle Elementary School,"219 50th St SE, Washington, DC 20019",38.88598,-76.930789
27,Oyster-Adams Bilingual School,"2801 Calvert St NW, Washington, DC 20008",38.923615,-77.057155
28,Payne Elementary School,"1445 C St SE, Washington, DC 20003",38.885174,-76.98486
29,Peabody Elementary School,"425 C St NE, Washington, DC 20002",38.89284,-76.999858
30,Patterson Elementary School,"4399 South Capitol Terrace SW, Washington, DC 20032",38.826733,-77.008248
31,Powell Elementary School,"1350 Upshur St NW, Washington, DC 20011",38.941533,-77.031639
32,Randle Highlands Elementary School,"1650 30th St SE, Washington, DC 20020",38.869987,-76.96411
33,Raymond Elementary School,"915 Spring Rd NW, Washington, DC 20010",38.93636,-77.026341
34,Ross Elementary School,"1730 R St NW, Washington, DC 20009",38.912373,-77.03961
35,Savoy Elementary School,"2400 Shannon Pl SE, Washington, DC 20020",38.86286,-76.993608
36,Shepherd Elementary School,"7800 14th St NW, Washington, DC 20012",38.984703,-77.03412
37,Simon Elementary School,"401 Mississippi Ave SE, Washington, DC 20032",38.835919,-77.000052
38,Stanton Elementary School,"2701 Naylor Rd SE, Washington, DC 20020",38.85928,-76.968491
39,Takoma Elementary School,"7010 Piney Branch Rd NW, Washington, DC 20012",38.974983,-77.022534
40,Thomson Elementary School,"1200 L St NW, Washington, DC 20005",38.90213,-77.02863
41,Tubman Elementary School,"3101 13th St NW, Washington, DC 20010",38.92921,-77.02945
42,Turner Elementary School,"3264 Stanton Rd SE, Washington, DC 20032",38.847634,-76.980327
43,Shirley Chisholm Elementary School,"1001 G St SE, Washington, DC 20003",38.88108,-76.992186
44,Van Ness Elementary School,"1150 5th St SE, Washington, DC 20003",38.876802,-76.999248
45,Walker-Jones Education Campus,"1125 New Jersey Ave NW, Washington, DC 20001",38.904192,-77.013906
46,Watkins Elementary School,"420 12th St SE, Washington, DC 20003",38.883358,-76.989861
47,Wheatley Education Campus,"1299 Neal St NE, Washington, DC 20002",38.903956,-76.988205
48,Whittier Education Campus,"6201 5th St NW, Washington, DC 20011",38.965888,-77.019193
49,LaSalle-Backus Elementary School,"501 Riggs Road NE, Washington, DC 20011",38.95998,-76.999882
50,Seaton Elementary School,"1503 10th St NW, Washington, DC 20001",38.91063,-77.02488
51,Martin Luther King Jr. Elementary School,"3200 6th St SE, Washington, DC 20032",38.842599,-76.998213
52,Malcolm X Elementary School @ Green,"1351 Alabama Ave SE, Washington, DC 20032",38.844868,-76.986191
53,Murch Elementary School,"4810 36th St NW, Washington, DC 20008",38.952833,-77.0702
54,Horace Mann Elementary School,"4430 Newark St NW, Washington, DC 20016",38.9343,-77.08783
55,Ludlow-Taylor Elementary School,"659 G St NE, Washington, DC 20002",38.897125,-76.99659
56,Plummer Elementary School,"4601 Texas Ave SE, Washington, DC 20019",38.88725,-76.93994
57,Burroughs Elementary School,"1820 Monroe St NE, Washington, DC 20018",38.933564,-76.978211
58,Barnard Elementary School,"430 Decatur St NW, Washington, DC 20011",38.94824,-77.01778
59,Marie Reed Elementary School,"2201 18th St NW, Washington, DC 20009",38.91912,-77.040822
60,Browne Education Campus,"850 26th St NE, Washington, DC 20002",38.90261,-76.97067
61,Noyes Elementary School,"2725 10th St NE, Washington, DC 20018",38.92519,-76.99185
62,Garfield Elementary School,"2435 Alabama Ave SE, Washington, DC 20020",38.85174,-76.97081
63,Smothers Elementary School,"4400 Brooks St NE, Washington, DC 20019",38.893625,-76.938479
64,Truesdell Education Campus,"800 Ingraham St NW, Washington, DC 20011",38.953944,-77.025016
65,Thomas Elementary School,"650 Anacostia Ave NE, Washington, DC 20019",38.90133,-76.95218
66,Drew Elementary School,"5600 Eads St NE, Washington, DC 20019",38.896,-76.91993
67,Stoddert Elementary School,"4001 Calvert St NW, Washington, DC 20007",38.92313,-77.078907
68,Bruce-Monroe Elementary School @ Park View,"3560 Warder St NW, Washington, DC 20010",38.934466,-77.021316
69,J.O. Wilson Elementary School,"660 K St NE, Washington, DC 20002",38.90277,-76.99659
70,Brightwood Education Campus,"1300 Nicholson St NW, Washington, DC 20011",38.960688,-77.030636
71,School Without Walls at Francis-Stevens,"2425 N St NW, Washington, DC 20037",38.907479,-77.052321
72,Key Elementary School,"5001 Dana Place NW, Washington, DC 20016",38.92681,-77.10053
73,Langley Elementary School,"101 T St NE, Washington, DC 20002",38.91518,-77.00589
74,Lawrence E. Boone Elementary School,"2200 Minnesota Ave SE, Washington, DC 20020",38.87257,-76.9739
75,Lorraine H. Whitlock Elementary School,"533 48th Pl NE, Washington, DC 20019",38.89701,-76.933701